seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
144,1777463533295643133,1777463533304398453,8755320
145,1777463533314588886,1777463533318748821,4159935
146,1777463533328975348,1777463533355533378,26558030
147,1777463533365750580,1777463533368809684,3059104
148,1777463533379095150,1777463533385433805,6338655
149,1777463533395614729,1777463533438897054,43282325
150,1777463533449024007,1777463533460894233,11870226
151,1777463533471135890,1777463533488668148,17532258
152,1777463533498887971,1777463533506211323,7323352
153,1777463533516341538,1777463533523061033,6719495
154,1777463533533217159,1777463533589046013,55828854
155,1777463533599237287,1777463533605551671,6314384
156,1777463533615671322,1777463533632349256,16677934
157,1777463533642472736,1777463533699866355,57393619
158,1777463533710127605,1777463533717365741,7238136
159,1777463533727590308,1777463533733816721,6226413
160,1777463533743955522,1777463533760323810,16368288
161,1777463533770586263,1777463533775663007,5076744
162,1777463533786020014,1777463533813333161,27313147
163,1777463533823496222,1777463533828352567,4856345
164,1777463533838600209,1777463533912414349,73814140
165,1777463533922690010,1777463533939884814,17194804
166,1777463533950034122,1777463533965237291,15203169
167,1777463533975360894,1777463533982219356,6858462
168,1777463533992343137,1777463534000108058,7764921
169,1777463534010234380,1777463534015865508,5631128
170,1777463534026260091,1777463534032427283,6167192
171,1777463534042587047,1777463534084368790,41781743
172,1777463534094503901,1777463534108832650,14328749
173,1777463534119130708,1777463534133994063,14863355
174,1777463534144213268,1777463534173537983,29324715
175,1777463534183755554,1777463534202236707,18481153
176,1777463534212459942,1777463534214923759,2463817
177,1777463534225059625,1777463534235692763,10633138
178,1777463534245903535,1777463534253490096,7586561
179,1777463534263627111,1777463534297629559,34002448
180,1777463534307778172,1777463534337766980,29988808
181,1777463534347919745,1777463534360621569,12701824
182,1777463534370792726,1777463534380102032,9309306
183,1777463534390216902,1777463534397186548,6969646
184,1777463534407296307,1777463534433876024,26579717
185,1777463534444017127,1777463534448012936,3995809
186,1777463534458161336,1777463534465466060,7304724
187,1777463534475682587,1777463534479537240,3854653
188,1777463534489688290,1777463534494015415,4327125
189,1777463534504284349,1777463534510866537,6582188
190,1777463534521206378,1777463534583326904,62120526
191,1777463534593461476,1777463534596553367,3091891
192,1777463534606770705,1777463534613969196,7198491
193,1777463534624093116,1777463534687278619,63185503
194,1777463534697399580,1777463534717185546,19785966
195,1777463534727299088,1777463534738569190,11270102
196,1777463534748824813,1777463534756239565,7414752
197,1777463534766378167,1777463534771338583,4960416
198,1777463534781568261,1777463534827715427,46147166
199,1777463534837933435,1777463534843671656,5738221
200,1777463534853982502,1777463534859378603,5396101
201,1777463534869604454,1777463534874185432,4580978
202,1777463534884398633,1777463534891222824,6824191
203,1777463534901424594,1777463534922995945,21571351
