seq,send_timestamp_ns,recv_timestamp_ns,rtt_ns
144,1777463862011546374,1777463862053909420,42363046
145,1777463862064043501,1777463862104592262,40548761
146,1777463862114736877,1777463862119770885,5034008
147,1777463862129928337,1777463862139267490,9339153
148,1777463862149402218,1777463862154147431,4745213
149,1777463862164314082,1777463862208304103,43990021
150,1777463862218532911,1777463862233388067,14855156
151,1777463862243645740,1777463862260381074,16735334
152,1777463862270597355,1777463862274939509,4342154
153,1777463862285099345,1777463862287509518,2410173
154,1777463862297815490,1777463862300336087,2520597
155,1777463862310515107,1777463862312537516,2022409
156,1777463862322714659,1777463862324606802,1892143
157,1777463862334792262,1777463862338445490,3653228
158,1777463862348641233,1777463862354384878,5743645
159,1777463862364521872,1777463862417160513,52638641
160,1777463862427296294,1777463862436784899,9488605
161,1777463862446909002,1777463862448731708,1822706
162,1777463862459047812,1777463862461923219,2875407
163,1777463862472132208,1777463862515239017,43106809
164,1777463862525368887,1777463862528190904,2822017
165,1777463862538544052,1777463862541808521,3264469
166,1777463862552000183,1777463862564631775,12631592
167,1777463862574783105,1777463862611557285,36774180
168,1777463862621704378,1777463862623544992,1840614
169,1777463862633720092,1777463862644395968,10675876
170,1777463862654556667,1777463862694975972,40419305
171,1777463862705180672,1777463862709660784,4480112
172,1777463862719819042,1777463862722351083,2532041
173,1777463862732494883,1777463862736242430,3747547
174,1777463862746478194,1777463862748446990,1968796
175,1777463862758606960,1777463862769919926,11312966
176,1777463862780047639,1777463862787578859,7531220
177,1777463862797829905,1777463862799480275,1650370
178,1777463862809607270,1777463862815380285,5773015
179,1777463862825543730,1777463862829064360,3520630
180,1777463862839436780,1777463862850939395,11502615
181,1777463862861204944,1777463862871455932,10250988
182,1777463862881633413,1777463862921507642,39874229
183,1777463862931703223,1777463862933283650,1580427
184,1777463862943414983,1777463862961098192,17683209
185,1777463862971231794,1777463862976707730,5475936
186,1777463862986842953,1777463862990683142,3840189
187,1777463863000812538,1777463863002282659,1470121
188,1777463863012415647,1777463863016869362,4453715
189,1777463863027005773,1777463863032617071,5611298
